time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.694758,6.3851e-05,2.97773,20000,1,256,500
0.695102,6.3191e-05,2.98037,20000,2,256,500
0.695229,6.3528e-05,2.98539,20000,4,256,500
0.694921,6.4267e-05,2.95572,20000,1,512,500
0.695014,7.2786e-05,2.96394,20000,2,512,500
0.695521,6.326e-05,2.94546,20000,1,1024,500
0.04575,2.7435e-05,1.26875,5000,1,1,500
0.0456669,2.6547e-05,0.91714,5000,2,1,500
0.0456737,2.5838e-05,0.892521,5000,4,1,500
0.0455959,2.5925e-05,0.866069,5000,8,1,500
0.0456633,2.6039e-05,0.857396,5000,16,1,500
0.0456581,2.6519e-05,0.901366,5000,32,1,500
0.0457234,2.6595e-05,0.908568,5000,64,1,500
0.045657,2.6575e-05,0.925487,5000,128,1,500
0.0457065,2.661e-05,1.20155,5000,256,1,500
0.0456489,2.6813e-05,1.77541,5000,512,1,500
0.0456817,2.6534e-05,2.67061,5000,1024,1,500
0.045824,2.5664e-05,1.10218,5000,1,2,500
0.0456949,2.5926e-05,0.856596,5000,2,2,500
0.0457176,2.66e-05,0.849439,5000,4,2,500
0.0457207,2.6848e-05,0.821036,5000,8,2,500
0.0457166,2.6841e-05,0.82394,5000,16,2,500
0.0456821,2.6715e-05,0.817046,5000,32,2,500
0.0468486,2.6314e-05,0.817297,5000,64,2,500
0.0456564,2.7014e-05,0.853773,5000,128,2,500
0.0456591,2.5953e-05,0.982868,5000,256,2,500
0.0457173,2.5583e-05,1.21052,5000,512,2,500
0.0456871,2.757e-05,1.03225,5000,1,4,500
0.045784,2.6037e-05,0.840132,5000,2,4,500
0.0458781,2.7603e-05,0.824402,5000,4,4,500
0.045623,2.6846e-05,0.796304,5000,8,4,500
0.0456567,2.6079e-05,0.792311,5000,16,4,500
0.0456536,2.695e-05,0.791095,5000,32,4,500
0.0456967,2.5795e-05,0.791474,5000,64,4,500
0.0457616,3.2239e-05,0.802555,5000,128,4,500
0.0457204,2.7252e-05,0.816046,5000,256,4,500
0.0456848,2.6328e-05,0.846996,5000,1,8,500
0.0457171,3.1639e-05,0.776805,5000,2,8,500
0.0456837,2.6651e-05,0.781257,5000,4,8,500
0.0456921,2.7055e-05,0.773637,5000,8,8,500
0.0456703,2.6893e-05,0.770318,5000,16,8,500
0.0456622,2.6771e-05,0.770905,5000,32,8,500
0.0457222,2.6553e-05,0.766781,5000,64,8,500
0.0456552,2.628e-05,0.784637,5000,128,8,500
0.0456821,2.6793e-05,0.640469,5000,1,16,500
0.0457695,2.6206e-05,0.604389,5000,2,16,500
0.0456588,2.6816e-05,0.607468,5000,4,16,500
0.0456597,2.6673e-05,0.600998,5000,8,16,500
0.0456078,3.1463e-05,0.603576,5000,16,16,500
0.0457508,3.2025e-05,0.599797,5000,32,16,500
0.0456753,2.6101e-05,0.603207,5000,64,16,500
0.0457103,2.5714e-05,0.566765,5000,1,32,500
0.0457139,2.6419e-05,0.555302,5000,2,32,500
0.0459139,2.6643e-05,0.558464,5000,4,32,500
0.0456895,2.5983e-05,0.557129,5000,8,32,500
0.0457282,2.6719e-05,0.553751,5000,16,32,500
0.0456757,2.7198e-05,0.556492,5000,32,32,500
0.0457492,2.7094e-05,0.549074,5000,1,64,500
0.0456232,2.6488e-05,0.547875,5000,2,64,500
0.0457255,2.6919e-05,0.550567,5000,4,64,500
0.0456542,2.6003e-05,0.55077,5000,8,64,500
0.0456979,2.5739e-05,0.546901,5000,16,64,500
0.045684,2.6044e-05,0.543861,5000,1,128,500
0.0456354,2.6399e-05,0.542856,5000,2,128,500
0.0457759,2.6236e-05,0.5426,5000,4,128,500
0.0456687,2.585e-05,0.544952,5000,8,128,500
0.0457761,2.6106e-05,0.54223,5000,1,256,500
0.0456966,2.6327e-05,0.542022,5000,2,256,500
0.0456978,2.6921e-05,0.545186,5000,4,256,500
0.0457397,2.6643e-05,0.540245,5000,1,512,500
0.0458295,2.6872e-05,0.542698,5000,2,512,500
0.0456978,2.6293e-05,0.542174,5000,1,1024,500
0.176356,3.9631e-05,3.91854,10000,1,1,500
0.176287,3.9107e-05,2.51772,10000,2,1,500
0.176482,4.0375e-05,1.99636,10000,4,1,500
0.176369,4.0505e-05,1.90718,10000,8,1,500
0.176055,4.0375e-05,1.89403,10000,16,1,500
0.17614,3.8952e-05,1.93051,10000,32,1,500
0.176034,4.0361e-05,1.91654,10000,64,1,500
0.176053,4.0356e-05,1.92137,10000,128,1,500
0.176167,3.9866e-05,2.37692,10000,256,1,500
0.176259,4.0674e-05,3.57736,10000,512,1,500
0.176255,4.0297e-05,5.40992,10000,1024,1,500
0.176265,3.9832e-05,3.25642,10000,1,2,500
0.176173,4.1362e-05,2.25762,10000,2,2,500
0.17623,4.0801e-05,1.94244,10000,4,2,500
0.176294,3.9764e-05,1.86793,10000,8,2,500
0.175992,4.1394e-05,1.8659,10000,16,2,500
0.176618,3.9841e-05,1.85668,10000,32,2,500
0.175936,4.0081e-05,1.85964,10000,64,2,500
0.175996,3.9883e-05,1.86323,10000,128,2,500
0.176083,4.0282e-05,1.97435,10000,256,2,500
0.175985,4.1218e-05,2.36075,10000,512,2,500
0.176139,4.0418e-05,2.99156,10000,1,4,500
0.175919,4.0026e-05,2.16328,10000,2,4,500
0.176604,4.1162e-05,1.92175,10000,4,4,500
0.1759,4.0627e-05,1.85344,10000,8,4,500
0.176078,4.0099e-05,1.85383,10000,16,4,500
0.175978,4.0321e-05,1.84392,10000,32,4,500
0.176485,4.0955e-05,1.84635,10000,64,4,500
0.176048,4.063e-05,1.83294,10000,128,4,500
0.176184,4.0133e-05,1.8758,10000,256,4,500
0.176139,3.9398e-05,2.24682,10000,1,8,500
0.175855,4.0993e-05,1.94149,10000,2,8,500
0.176255,4.0007e-05,1.79544,10000,4,8,500
0.176041,4.113e-05,1.79292,10000,8,8,500
0.176026,4.051e-05,1.79528,10000,16,8,500
0.176397,4.5619e-05,1.79267,10000,32,8,500
0.176341,4.0655e-05,1.79323,10000,64,8,500
0.176296,4.0722e-05,1.78369,10000,128,8,500
0.176011,4.0569e-05,1.39036,10000,1,16,500
0.176205,4.0084e-05,1.22951,10000,2,16,500
0.175937,3.9739e-05,1.1691,10000,4,16,500
0.17622,3.9947e-05,1.16304,10000,8,16,500
0.176226,3.941e-05,1.15908,10000,16,16,500
0.176419,4.0593e-05,1.16102,10000,32,16,500
0.176164,4.0823e-05,1.15869,10000,64,16,500
0.176121,4.0045e-05,1.11908,10000,1,32,500
0.176057,4.0883e-05,1.08148,10000,2,32,500
0.176033,4.1031e-05,1.07821,10000,4,32,500
0.176175,4.0661e-05,1.07618,10000,8,32,500
0.176059,3.9979e-05,1.07613,10000,16,32,500
0.176188,4.0359e-05,1.07438,10000,32,32,500
0.17589,3.9856e-05,1.04975,10000,1,64,500
0.176117,4.0175e-05,1.04764,10000,2,64,500
0.176081,3.9733e-05,1.04857,10000,4,64,500
0.176149,3.9946e-05,1.04912,10000,8,64,500
0.17612,4.0695e-05,1.04966,10000,16,64,500
0.176591,4.037e-05,1.03754,10000,1,128,500
0.175918,4.0796e-05,1.03698,10000,2,128,500
0.176647,4.0313e-05,1.04389,10000,4,128,500
0.176404,4.051e-05,1.04482,10000,8,128,500
0.176894,4.0263e-05,1.04862,10000,1,256,500
0.176343,3.9834e-05,1.02492,10000,2,256,500
0.175846,3.9088e-05,1.0285,10000,4,256,500
0.176279,3.9142e-05,1.0223,10000,1,512,500
0.175949,4.5712e-05,1.02384,10000,2,512,500
0.176147,4.1186e-05,1.02642,10000,1,1024,500
0.695398,6.3952e-05,14.4825,20000,1,1,500
0.69543,6.4843e-05,8.87479,20000,2,1,500
0.695341,6.3635e-05,6.82128,20000,4,1,500
0.696738,6.3669e-05,6.10623,20000,8,1,500
0.695242,6.4038e-05,6.17625,20000,16,1,500
0.69564,6.4904e-05,6.20146,20000,32,1,500
0.695956,6.3795e-05,6.17629,20000,64,1,500
0.695479,6.4107e-05,6.18569,20000,128,1,500
0.695659,6.2738e-05,6.16833,20000,256,1,500
0.695722,7.2334e-05,7.87011,20000,512,1,500
0.695029,6.4772e-05,13.2176,20000,1024,1,500
0.697055,6.2999e-05,11.8234,20000,1,2,500
0.696291,6.4327e-05,7.81908,20000,2,2,500
0.695937,6.9533e-05,6.59958,20000,4,2,500
0.695327,6.3141e-05,6.00724,20000,8,2,500
0.695944,6.4636e-05,6.08751,20000,16,2,500
0.695227,6.3915e-05,6.06868,20000,32,2,500
0.696241,6.3198e-05,6.05027,20000,64,2,500
0.695484,6.3531e-05,6.04427,20000,128,2,500
0.695372,6.3545e-05,6.04519,20000,256,2,500
0.694904,6.5286e-05,6.11703,20000,512,2,500
0.695696,6.2994e-05,10.7598,20000,1,4,500
0.694938,6.3487e-05,7.43194,20000,2,4,500
0.695744,6.5069e-05,6.3242,20000,4,4,500
0.696153,6.5545e-05,5.92688,20000,8,4,500
0.696001,6.4529e-05,5.94305,20000,16,4,500
0.695638,6.3567e-05,5.96549,20000,32,4,500
0.695119,6.3255e-05,5.95873,20000,64,4,500
0.695142,6.422e-05,5.96735,20000,128,4,500
0.696051,6.468e-05,5.97239,20000,256,4,500
0.695027,6.3695e-05,7.80254,20000,1,8,500
0.695108,6.4376e-05,6.57402,20000,2,8,500
0.69553,6.3934e-05,6.02865,20000,4,8,500
0.695237,6.5078e-05,5.80179,20000,8,8,500
0.694824,6.3562e-05,5.80045,20000,16,8,500
